epoch,accuracy,loss,val_accuracy,val_loss
0,0.38555217,1.3222443588282176,0.41786742210388184,1.272374551303105
1,0.64489347,0.9755163294537194,0.6484149694442749,0.9211148817188801
2,0.7943537,0.5802991891910322,0.6974063515663147,0.8103936845356174
3,0.84749514,0.4143844145323608,0.6829971075057983,0.7971798535382714
4,0.8823692,0.3310708108121195,0.6743515729904175,0.8246658518266266
5,0.9083864,0.27152747037897074,0.6858789920806885,0.8613130331726514
6,0.9247163,0.22236606548392077,0.6829971075057983,0.9067729714968019
7,0.9427069,0.18310815898081353,0.6685879230499268,0.9771567562471549
8,0.9535012,0.15428807495902722,0.6858789920806885,1.0186310535892629
9,0.9598671,0.13569160978318318,0.6772334575653076,1.1255481950831345
10,0.9640188,0.11884276086756836,0.6829971075057983,1.1403644631163188
11,0.9678937,0.11024982303818144,0.6628242135047913,1.2520068282696286
12,0.97093827,0.10277973798018825,0.6628242135047913,1.2672478465594201
13,0.96844727,0.0986758676194399,0.6628242135047913,1.2930271185784243
14,0.9692776,0.09352568497918928,0.6570605039596558,1.429595292473389
15,0.97342926,0.0839776164923485,0.6743515729904175,1.4061396681953233
16,0.97342926,0.08088152742215943,0.6685879230499268,1.480434388179944
17,0.97232217,0.07928514779088341,0.6714697480201721,1.4823719397058404
18,0.97592026,0.07110270968755131,0.6570605039596558,1.5020688940537423
19,0.97481316,0.07174750367669791,0.6570605039596558,1.5699307629972783
20,0.9756435,0.0717018899107504,0.6455331444740295,1.60442563848468
21,0.97647387,0.06960358696484743,0.6714697480201721,1.5832533204246324
22,0.97647387,0.06541342541798145,0.6340057849884033,1.72446831090306
23,0.9739828,0.06457790516836555,0.6628242135047913,1.632789563033354
24,0.97647387,0.06242616053587127,0.6570605039596558,1.6641182287969232
